epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.291,1.69099,2.26942,1.75147,0.62648,0.54179,0.59143,0.33816,1.51339,2.0492,1.654,0.000270162,0.000270162,0.000270162
2,95.3385,1.49992,1.44478,1.58121,0.57947,0.50187,0.55005,0.29275,1.6734,1.89384,1.84925,0.000546021,0.000546021,0.000546021
3,150.592,1.45087,1.28331,1.53564,0.52559,0.52004,0.4496,0.23801,1.73416,2.23524,1.89469,0.000820047,0.000820047,0.000820047
4,203.297,1.41328,1.19583,1.5133,0.44558,0.578,0.4781,0.21655,1.95035,1.85853,2.06639,0.000824753,0.000824753,0.000824753
5,257.766,1.36702,1.0863,1.47926,0.55441,0.55157,0.53629,0.28613,1.78957,1.73601,1.88006,0.000822004,0.000822004,0.000822004
6,311.536,1.33572,1.04301,1.4706,0.67965,0.72543,0.72652,0.35507,1.77311,1.36383,1.9198,0.000819255,0.000819255,0.000819255
7,371.568,1.29055,0.97783,1.43363,0.67626,0.68337,0.70314,0.39879,1.66658,1.35942,1.76226,0.000816507,0.000816507,0.000816507
8,426.137,1.25999,0.94268,1.4087,0.68818,0.58745,0.61344,0.31861,1.70539,1.60081,1.83656,0.000813758,0.000813758,0.000813758
9,480.427,1.23697,0.91345,1.39279,0.70521,0.69773,0.73721,0.42803,1.51219,1.20546,1.65264,0.000811009,0.000811009,0.000811009
10,536.966,1.18147,0.84976,1.34301,0.68774,0.66308,0.70232,0.41964,1.60394,1.32121,1.73822,0.00080826,0.00080826,0.00080826
11,590.666,1.1795,0.8283,1.35261,0.72928,0.67827,0.70786,0.3926,1.67633,1.28607,1.81237,0.000805511,0.000805511,0.000805511
12,644.519,1.17731,0.78291,1.33451,0.81395,0.67262,0.75748,0.43196,1.59164,1.2043,1.68529,0.000802762,0.000802762,0.000802762
13,704.15,1.10377,0.75293,1.29975,0.8286,0.69668,0.75801,0.4498,1.53589,1.15014,1.66136,0.000800013,0.000800013,0.000800013
14,763.443,1.12774,0.74668,1.32433,0.81319,0.72826,0.79115,0.47638,1.5009,1.06278,1.68879,0.000797264,0.000797264,0.000797264
15,835.371,1.1313,0.72965,1.32119,0.82757,0.74904,0.79652,0.45309,1.56613,1.08096,1.68734,0.000794515,0.000794515,0.000794515
16,893.157,1.07445,0.70037,1.26962,0.78739,0.68704,0.75966,0.48218,1.52225,1.16498,1.65395,0.000791767,0.000791767,0.000791767
17,958.117,1.05089,0.70981,1.26911,0.834,0.73771,0.77551,0.47559,1.53937,1.08303,1.65679,0.000789018,0.000789018,0.000789018
18,1016.98,1.03775,0.69287,1.26874,0.80091,0.74056,0.78882,0.49078,1.51297,1.03981,1.66258,0.000786269,0.000786269,0.000786269
19,1083.49,1.0148,0.66876,1.25201,0.73131,0.73125,0.74189,0.46059,1.49947,1.16503,1.63638,0.00078352,0.00078352,0.00078352
20,1141.78,0.99966,0.65299,1.22539,0.74972,0.69256,0.76483,0.44659,1.54207,1.17534,1.67101,0.000780771,0.000780771,0.000780771
21,1201.85,1.04833,0.67098,1.2563,0.76999,0.74805,0.77064,0.45559,1.52039,1.16807,1.68332,0.000778022,0.000778022,0.000778022
22,1261.5,1.0056,0.64006,1.23961,0.82943,0.70443,0.78396,0.47967,1.47899,1.11695,1.62779,0.000775273,0.000775273,0.000775273
23,1320.71,0.968,0.62151,1.20718,0.84569,0.76771,0.80847,0.48365,1.53061,1.03376,1.66132,0.000772524,0.000772524,0.000772524
24,1380.3,0.97696,0.6153,1.2213,0.82838,0.6935,0.75347,0.44493,1.56709,1.16092,1.71867,0.000769775,0.000769775,0.000769775
25,1439.75,0.97839,0.60129,1.20219,0.8481,0.74377,0.79523,0.51059,1.48978,1.09277,1.65679,0.000767026,0.000767026,0.000767026
26,1510.77,0.8941,0.56919,1.16453,0.80342,0.72291,0.76455,0.48439,1.45972,1.20744,1.63445,0.000764278,0.000764278,0.000764278
27,1570.28,0.92804,0.58438,1.19612,0.86253,0.71653,0.79984,0.48918,1.49323,1.0598,1.6425,0.000761529,0.000761529,0.000761529
28,1630.36,0.9075,0.56675,1.16773,0.86433,0.71838,0.78117,0.46181,1.54954,1.10226,1.70116,0.00075878,0.00075878,0.00075878
29,1689.78,0.90051,0.5801,1.17366,0.86964,0.72678,0.78597,0.49422,1.48351,1.08832,1.64804,0.000756031,0.000756031,0.000756031
30,1746.98,0.88418,0.55679,1.15702,0.85237,0.73331,0.79119,0.50081,1.48708,1.03294,1.63458,0.000753282,0.000753282,0.000753282
31,1806.66,0.89408,0.56316,1.16564,0.7733,0.69478,0.70867,0.43439,1.57505,1.26679,1.68544,0.000750533,0.000750533,0.000750533
32,1861.13,0.85259,0.54154,1.13671,0.85634,0.73384,0.78165,0.49767,1.48218,1.09388,1.6745,0.000747784,0.000747784,0.000747784
33,1915.25,0.8416,0.53006,1.13718,0.833,0.78815,0.80603,0.49527,1.51501,1.0392,1.6723,0.000745035,0.000745035,0.000745035
34,1974.99,0.84179,0.51689,1.12916,0.86557,0.67743,0.74263,0.44335,1.57983,1.11299,1.73757,0.000742286,0.000742286,0.000742286
35,2034.16,0.86345,0.52898,1.14406,0.81584,0.74155,0.78343,0.4844,1.49822,1.07827,1.67966,0.000739537,0.000739537,0.000739537
36,2093.52,0.83333,0.51188,1.12479,0.82146,0.72256,0.77708,0.48071,1.4974,1.09839,1.64595,0.000736788,0.000736788,0.000736788
37,2153.11,0.81587,0.50635,1.12164,0.84146,0.76848,0.78912,0.48445,1.47078,1.06612,1.63835,0.00073404,0.00073404,0.00073404
38,2212.44,0.81203,0.49615,1.11663,0.82572,0.71054,0.77515,0.47677,1.48594,1.1697,1.63589,0.000731291,0.000731291,0.000731291
39,2272.06,0.82759,0.50951,1.13009,0.82222,0.73965,0.78341,0.46922,1.52148,1.07809,1.67657,0.000728542,0.000728542,0.000728542
40,2331.48,0.81488,0.50024,1.11696,0.75019,0.74838,0.76257,0.47103,1.5352,1.12164,1.66992,0.000725793,0.000725793,0.000725793
41,2391.15,0.8157,0.48447,1.1092,0.81318,0.72794,0.7719,0.50928,1.46837,1.12385,1.64503,0.000723044,0.000723044,0.000723044
42,2450.87,0.75983,0.46425,1.07886,0.82301,0.69027,0.7673,0.48046,1.52,1.09175,1.65048,0.000720295,0.000720295,0.000720295
43,2510.25,0.77506,0.47359,1.09757,0.78239,0.75113,0.76257,0.47169,1.52199,1.11628,1.6566,0.000717546,0.000717546,0.000717546
44,2569.57,0.76607,0.4684,1.08862,0.81686,0.74088,0.75717,0.48027,1.53622,1.1049,1.68085,0.000714797,0.000714797,0.000714797
45,2629.1,0.76083,0.46282,1.07856,0.82559,0.71352,0.77907,0.48663,1.48215,1.11315,1.66628,0.000712048,0.000712048,0.000712048
46,2682.76,0.76216,0.46599,1.10181,0.79644,0.74699,0.77598,0.47212,1.58502,1.07414,1.72845,0.000709299,0.000709299,0.000709299
47,2737.17,0.74119,0.45566,1.07342,0.83326,0.68557,0.73178,0.46368,1.51644,1.23554,1.70835,0.000706551,0.000706551,0.000706551
48,2797.33,0.73367,0.45292,1.07724,0.77353,0.72672,0.75776,0.46578,1.58008,1.16602,1.75352,0.000703802,0.000703802,0.000703802
49,2856.59,0.74315,0.45744,1.08278,0.75589,0.756,0.77212,0.48978,1.54672,1.07622,1.72383,0.000701053,0.000701053,0.000701053
50,2910.43,0.76015,0.46485,1.09066,0.83324,0.76468,0.80324,0.50324,1.48015,0.98651,1.64843,0.000698304,0.000698304,0.000698304
51,2970.09,0.74021,0.45478,1.06914,0.79463,0.75602,0.78095,0.4944,1.48329,1.00491,1.6496,0.000695555,0.000695555,0.000695555
52,3029.46,0.71899,0.44595,1.07345,0.82626,0.7677,0.79109,0.51336,1.4831,1.00908,1.68492,0.000692806,0.000692806,0.000692806
53,3094.18,0.71674,0.43509,1.06262,0.80934,0.76,0.76905,0.49829,1.49269,1.0517,1.6991,0.000690057,0.000690057,0.000690057
54,3154.32,0.71763,0.43295,1.06785,0.82249,0.69695,0.75781,0.49864,1.44249,1.0995,1.63274,0.000687308,0.000687308,0.000687308
55,3213.87,0.73035,0.4481,1.07309,0.78932,0.75448,0.76229,0.48604,1.47794,1.07136,1.67878,0.000684559,0.000684559,0.000684559
56,3273.35,0.7302,0.44401,1.06842,0.80296,0.69002,0.74219,0.46387,1.53249,1.11607,1.68492,0.00068181,0.00068181,0.00068181
57,3332.81,0.7059,0.43812,1.05428,0.8778,0.73675,0.80079,0.50645,1.5111,1.04203,1.68739,0.000679062,0.000679062,0.000679062
58,3392.36,0.6998,0.42826,1.0506,0.83746,0.76095,0.80365,0.49691,1.50721,1.09199,1.66391,0.000676313,0.000676313,0.000676313
59,3452,0.72419,0.43447,1.06746,0.85467,0.6871,0.78578,0.4944,1.48972,1.10394,1.65193,0.000673564,0.000673564,0.000673564
60,3511.35,0.72853,0.42578,1.06357,0.76806,0.7197,0.7439,0.48567,1.5016,1.18658,1.67143,0.000670815,0.000670815,0.000670815
61,3570.49,0.67396,0.4128,1.03817,0.87821,0.73439,0.79905,0.51838,1.47725,1.10108,1.66511,0.000668066,0.000668066,0.000668066
62,3630.78,0.67877,0.41176,1.04773,0.84413,0.69333,0.75519,0.48284,1.49954,1.1217,1.65753,0.000665317,0.000665317,0.000665317
63,3689.91,0.66633,0.40833,1.03624,0.79608,0.68638,0.75458,0.46788,1.51051,1.1433,1.67397,0.000662568,0.000662568,0.000662568
64,3743.69,0.65926,0.40016,1.02921,0.80023,0.72299,0.76107,0.49278,1.46919,1.12041,1.6457,0.000659819,0.000659819,0.000659819
65,3798.16,0.65881,0.40051,1.03413,0.83477,0.70643,0.7733,0.49892,1.46767,1.1171,1.6687,0.00065707,0.00065707,0.00065707
66,3852.99,0.65613,0.40002,1.02602,0.80019,0.71449,0.75827,0.48737,1.49369,1.09578,1.69116,0.000654321,0.000654321,0.000654321
67,3913.75,0.64826,0.39768,1.02544,0.84605,0.70401,0.75513,0.49505,1.49629,1.09206,1.67492,0.000651573,0.000651573,0.000651573
68,3972.09,0.688,0.40775,1.04237,0.88056,0.72964,0.80468,0.51881,1.42301,0.9741,1.62621,0.000648824,0.000648824,0.000648824
69,4032.66,0.64494,0.39035,1.02092,0.85297,0.74638,0.78761,0.51172,1.42324,1.00743,1.62966,0.000646075,0.000646075,0.000646075
70,4093.51,0.63825,0.38974,1.02244,0.8555,0.75486,0.78466,0.51369,1.43444,1.04195,1.61981,0.000643326,0.000643326,0.000643326
71,4152.88,0.64267,0.39218,1.01835,0.84051,0.72774,0.75355,0.50234,1.46098,1.18459,1.64886,0.000640577,0.000640577,0.000640577
72,4212.62,0.6579,0.39878,1.02739,0.82951,0.74759,0.76449,0.48589,1.48114,1.10062,1.6844,0.000637828,0.000637828,0.000637828
73,4271.92,0.63766,0.39478,1.02803,0.83098,0.75237,0.7746,0.48909,1.47808,1.12644,1.6617,0.000635079,0.000635079,0.000635079
74,4331.45,0.6465,0.39903,1.0288,0.81585,0.73695,0.7695,0.49977,1.4577,1.02188,1.65577,0.00063233,0.00063233,0.00063233
75,4390.71,0.62191,0.37747,1.01073,0.81806,0.74055,0.76865,0.49384,1.49813,1.06269,1.67602,0.000629581,0.000629581,0.000629581
76,4450.23,0.64079,0.39026,1.02622,0.75955,0.76867,0.77474,0.48583,1.5328,1.08438,1.69775,0.000626832,0.000626832,0.000626832
77,4506.32,0.63833,0.39424,1.02677,0.85228,0.71863,0.75686,0.48622,1.51,1.12594,1.66061,0.000624084,0.000624084,0.000624084
78,4561.16,0.62166,0.37793,1.0102,0.85559,0.77349,0.80749,0.51299,1.48713,1.01705,1.67873,0.000621335,0.000621335,0.000621335
79,4620.89,0.6265,0.37814,1.01892,0.85255,0.69523,0.77967,0.50004,1.43663,1.08415,1.65117,0.000618586,0.000618586,0.000618586
80,4679.96,0.62006,0.37355,1.01346,0.81889,0.72837,0.76089,0.48453,1.48899,1.15235,1.67781,0.000615837,0.000615837,0.000615837
81,4739.81,0.62242,0.37466,1.01213,0.8182,0.74104,0.76868,0.49948,1.46853,1.1234,1.69243,0.000613088,0.000613088,0.000613088
82,4801.27,0.6123,0.38366,1.01091,0.85384,0.70287,0.78545,0.50675,1.43273,1.12789,1.66647,0.000610339,0.000610339,0.000610339
83,4855.27,0.60646,0.37505,1.01021,0.85376,0.73617,0.77143,0.4905,1.4756,1.09802,1.66123,0.00060759,0.00060759,0.00060759
84,4916.13,0.62235,0.37837,1.00228,0.85425,0.69629,0.76479,0.48193,1.49309,1.14557,1.71359,0.000604841,0.000604841,0.000604841
85,4975.08,0.59586,0.37121,1.00054,0.87771,0.71546,0.79152,0.49207,1.50967,1.02496,1.73214,0.000602092,0.000602092,0.000602092
86,5034.59,0.60461,0.36679,1.00965,0.85427,0.71771,0.77704,0.49637,1.50636,1.13065,1.70565,0.000599343,0.000599343,0.000599343
87,5094.41,0.60787,0.37167,0.99951,0.88233,0.72078,0.77857,0.50365,1.49027,1.06762,1.72092,0.000596595,0.000596595,0.000596595
